,Unnamed: 0,PubChem_CID,Compound Name,Severity Class,DILIConcern,vDILIConcern,Greene_Annotation,Sakatis_Annotation,Xu_Annotation,Zhu_Annotation,SMILES,NCTR,vNCTR,Greene,Sakatis,Xu,Zhu,INCHIKEY
0,0,34869,amineptine,8,Most-DILI-Concern,vMost-DILI-Concern,HH,.,Positive,Postive,C1CC2=CC=CC=C2C(C3=CC=CC=C31)[NH2+]CCCCCCC(=O)O.[Cl-],2,2,2,-1,1,1,VDPUXONTAVMIKZ-UHFFFAOYSA-N
1,1,2717,chlormezanone,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Postive,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,2,2,-1,-1,-1,1,WEQAYVWKMWHEJO-UHFFFAOYSA-N
2,2,65679,droxicam,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,CN1C2=C(C3=CC=CC=C3S1(=O)=O)OC(=O)N(C2=O)C4=CC=CC=N4,2,2,-1,-1,-1,-1,OEHFRZLKGRKFAS-UHFFFAOYSA-N
3,3,65869,ebrotidine,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,C1=CC(=CC=C1S(=O)(=O)NC=NCCSCC2=CSC(=N2)N=C(N)N)Br,2,2,-1,-1,-1,-1,ZQHFZHPUZXNPMF-UHFFFAOYSA-N
4,4,4495,nimesulide,8,Most-DILI-Concern,vMost-DILI-Concern,HH,Hepatotoxic,Positive,Postive,CS(=O)(=O)NC1=C(C=C(C=C1)[N+](=O)[O-])OC2=CC=CC=C2,2,2,2,1,1,1,HYWYRSMBCFDLJT-UHFFFAOYSA-N
5,5,114965,tetrabamate,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,CCCCOCC(CN1C(=O)C(C(=O)NC1=O)(CC)C2=CC=CC=C2)OC(=O)N.CCCCOCC(CN1C(=O)C(C(=O)N(C1=O)CC(COCCCC)OC(=O)N)(CC)C2=CC=CC=C2)OC(=O)N.CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,2,2,-1,-1,-1,-1,HYAMLWDZZVMLGY-UHFFFAOYSA-N
6,6,5591,troglitazone,8,Most-DILI-Concern,vMost-DILI-Concern,HH,Hepatotoxic,Positive,Postive,CC1=C(C(=C2CCC(OC2=C1C)(C)COC3=CC=C(C=C3)CC4C(=O)NC(=O)S4)C)O,2,2,2,1,1,1,GXPHKUHSUJUWKP-UHFFFAOYSA-N
7,7,62959,trovafloxacin,8,Most-DILI-Concern,vMost-DILI-Concern,HH,.,Positive,Postive,C1[C@@H]2[C@@H](C2N)CN1C3=C(C=C4C(=O)C(=CN(C4=N3)C5=C(C=C(C=C5)F)F)C(=O)O)F,2,2,2,-1,1,1,WVPSKSLAZQPAKQ-SOSAQKQKSA-N
8,8,2081,alaproclate,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,CC(C(=O)OC(C)(C)CC1=CC=C(C=C1)Cl)N,2,2,-1,-1,-1,-1,FZSPJBYOKQPKCD-UHFFFAOYSA-N
9,9,3086677,alatrofloxacin mesylate,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Postive,C[C@@H](C(=O)N[C@@H](C)C(=O)NC1[C@H]2[C@@H]1CN(C2)C3=C(C=C4C(=O)C(=CN(C4=N3)C5=C(C=C(C=C5)F)F)C(=O)O)F)N,2,2,-1,-1,-1,1,UUZPPAMZDFLUHD-LZGARRQBSA-N
