PubChem_CID,Compound Name,Severity Class,DILIConcern,vDILIConcern,Greene_Annotation,Sakatis_Annotation,Xu_Annotation,Zhu_Annotation,SMILES,NCTR,vNCTR,Greene,Sakatis,Xu,Zhu,cluster
34869,amineptine,8,Most-DILI-Concern,vMost-DILI-Concern,HH,.,Positive,Postive,C1CC2=CC=CC=C2C(C3=CC=CC=C31)[NH2+]CCCCCCC(=O)O.[Cl-],2,2,2,-1,1,1,0
2717,chlormezanone,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Postive,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,2,2,-1,-1,-1,1,1
65679,droxicam,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,CN1C2=C(C3=CC=CC=C3S1(=O)=O)OC(=O)N(C2=O)C4=CC=CC=N4,2,2,-1,-1,-1,-1,2
65869,ebrotidine,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,C1=CC(=CC=C1S(=O)(=O)NC=NCCSCC2=CSC(=N2)N=C(N)N)Br,2,2,-1,-1,-1,-1,3
4495,nimesulide,8,Most-DILI-Concern,vMost-DILI-Concern,HH,Hepatotoxic,Positive,Postive,CS(=O)(=O)NC1=C(C=C(C=C1)[N+](=O)[O-])OC2=CC=CC=C2,2,2,2,1,1,1,4
114965,tetrabamate,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,CCCCOCC(CN1C(=O)C(C(=O)NC1=O)(CC)C2=CC=CC=C2)OC(=O)N.CCCCOCC(CN1C(=O)C(C(=O)N(C1=O)CC(COCCCC)OC(=O)N)(CC)C2=CC=CC=C2)OC(=O)N.CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,2,2,-1,-1,-1,-1,5
5591,troglitazone,8,Most-DILI-Concern,vMost-DILI-Concern,HH,Hepatotoxic,Positive,Postive,CC1=C(C(=C2CCC(OC2=C1C)(C)COC3=CC=C(C=C3)CC4C(=O)NC(=O)S4)C)O,2,2,2,1,1,1,6
62959,trovafloxacin,8,Most-DILI-Concern,vMost-DILI-Concern,HH,.,Positive,Postive,C1[C@@H]2[C@@H](C2N)CN1C3=C(C=C4C(=O)C(=CN(C4=N3)C5=C(C=C(C=C5)F)F)C(=O)O)F,2,2,2,-1,1,1,7
2081,alaproclate,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,CC(C(=O)OC(C)(C)CC1=CC=C(C=C1)Cl)N,2,2,-1,-1,-1,-1,8
3086677,alatrofloxacin mesylate,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Postive,C[C@@H](C(=O)N[C@@H](C)C(=O)NC1[C@H]2[C@@H]1CN(C2)C3=C(C=C4C(=O)C(=CN(C4=N3)C5=C(C=C(C=C5)F)F)C(=O)O)F)N,2,2,-1,-1,-1,1,7
30951,alclofenac,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,C=CCOC1=C(C=C(C=C1)CC(=O)O)Cl,2,2,-1,-1,-1,-1,9
54897,alpidem,8,Most-DILI-Concern,vMost-DILI-Concern,HH,Hepatotoxic,Positive,.,CCCN(CCC)C(=O)CC1=C(N=C2N1C=C(C=C2)Cl)C3=CC=C(C=C3)Cl,2,2,2,1,1,-1,10
2313,bendazac,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,C1=CC=C(C=C1)CN2C3=CC=CC=C3C(=N2)OCC(=O)O,2,2,-1,-1,-1,-1,11
39941,benoxaprofen,8,Most-DILI-Concern,vMost-DILI-Concern,HH,.,Positive,Postive,CC(C1=CC2=C(C=C1)OC(=N2)C3=CC=C(C=C3)Cl)C(=O)O,2,2,2,-1,1,1,12
