PubChem_CID,Compound Name,Severity Class,DILIConcern,vDILIConcern,Greene_Annotation,Sakatis_Annotation,Xu_Annotation,Zhu_Annotation,SMILES,NCTR,vNCTR,Greene,Sakatis,Xu,Zhu,INCHIKEY,SAMPLE_KEY
2717,chlormezanone,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Postive,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,2,2,-1,-1,-1,1,WEQAYVWKMWHEJO-UHFFFAOYSA-N,24294-H01-1
2717,chlormezanone,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Postive,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,2,2,-1,-1,-1,1,WEQAYVWKMWHEJO-UHFFFAOYSA-N,24294-H01-2
2717,chlormezanone,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Postive,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,2,2,-1,-1,-1,1,WEQAYVWKMWHEJO-UHFFFAOYSA-N,24294-H01-3
2717,chlormezanone,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Postive,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,2,2,-1,-1,-1,1,WEQAYVWKMWHEJO-UHFFFAOYSA-N,24294-H01-4
2717,chlormezanone,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Postive,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,2,2,-1,-1,-1,1,WEQAYVWKMWHEJO-UHFFFAOYSA-N,24294-H01-5
2717,chlormezanone,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Postive,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,2,2,-1,-1,-1,1,WEQAYVWKMWHEJO-UHFFFAOYSA-N,24294-H01-6
2717,chlormezanone,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Postive,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,2,2,-1,-1,-1,1,WEQAYVWKMWHEJO-UHFFFAOYSA-N,24295-H01-1
2717,chlormezanone,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Postive,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,2,2,-1,-1,-1,1,WEQAYVWKMWHEJO-UHFFFAOYSA-N,24295-H01-2
2717,chlormezanone,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Postive,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,2,2,-1,-1,-1,1,WEQAYVWKMWHEJO-UHFFFAOYSA-N,24295-H01-3
2717,chlormezanone,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Postive,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,2,2,-1,-1,-1,1,WEQAYVWKMWHEJO-UHFFFAOYSA-N,24295-H01-4
2717,chlormezanone,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Postive,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,2,2,-1,-1,-1,1,WEQAYVWKMWHEJO-UHFFFAOYSA-N,24295-H01-5
2717,chlormezanone,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Postive,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,2,2,-1,-1,-1,1,WEQAYVWKMWHEJO-UHFFFAOYSA-N,24295-H01-6
2717,chlormezanone,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Postive,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,2,2,-1,-1,-1,1,WEQAYVWKMWHEJO-UHFFFAOYSA-N,24297-H01-1
2717,chlormezanone,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Postive,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,2,2,-1,-1,-1,1,WEQAYVWKMWHEJO-UHFFFAOYSA-N,24297-H01-2
2717,chlormezanone,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Postive,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,2,2,-1,-1,-1,1,WEQAYVWKMWHEJO-UHFFFAOYSA-N,24297-H01-3
2717,chlormezanone,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Postive,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,2,2,-1,-1,-1,1,WEQAYVWKMWHEJO-UHFFFAOYSA-N,24297-H01-4
2717,chlormezanone,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Postive,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,2,2,-1,-1,-1,1,WEQAYVWKMWHEJO-UHFFFAOYSA-N,24297-H01-5
2717,chlormezanone,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Postive,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,2,2,-1,-1,-1,1,WEQAYVWKMWHEJO-UHFFFAOYSA-N,24297-H01-6
2717,chlormezanone,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Postive,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,2,2,-1,-1,-1,1,WEQAYVWKMWHEJO-UHFFFAOYSA-N,24300-H01-1
2717,chlormezanone,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Postive,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,2,2,-1,-1,-1,1,WEQAYVWKMWHEJO-UHFFFAOYSA-N,24300-H01-2
2717,chlormezanone,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Postive,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,2,2,-1,-1,-1,1,WEQAYVWKMWHEJO-UHFFFAOYSA-N,24300-H01-3
2717,chlormezanone,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Postive,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,2,2,-1,-1,-1,1,WEQAYVWKMWHEJO-UHFFFAOYSA-N,24300-H01-4
2717,chlormezanone,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Postive,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,2,2,-1,-1,-1,1,WEQAYVWKMWHEJO-UHFFFAOYSA-N,24300-H01-5
2717,chlormezanone,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Postive,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,2,2,-1,-1,-1,1,WEQAYVWKMWHEJO-UHFFFAOYSA-N,24300-H01-6
2717,chlormezanone,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Postive,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,2,2,-1,-1,-1,1,WEQAYVWKMWHEJO-UHFFFAOYSA-N,25937-H01-1
2717,chlormezanone,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Postive,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,2,2,-1,-1,-1,1,WEQAYVWKMWHEJO-UHFFFAOYSA-N,25937-H01-2
2717,chlormezanone,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Postive,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,2,2,-1,-1,-1,1,WEQAYVWKMWHEJO-UHFFFAOYSA-N,25937-H01-3
2717,chlormezanone,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Postive,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,2,2,-1,-1,-1,1,WEQAYVWKMWHEJO-UHFFFAOYSA-N,25937-H01-4
2717,chlormezanone,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Postive,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,2,2,-1,-1,-1,1,WEQAYVWKMWHEJO-UHFFFAOYSA-N,25937-H01-5
2717,chlormezanone,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Postive,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,2,2,-1,-1,-1,1,WEQAYVWKMWHEJO-UHFFFAOYSA-N,25937-H01-6
2717,chlormezanone,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Postive,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,2,2,-1,-1,-1,1,WEQAYVWKMWHEJO-UHFFFAOYSA-N,25938-H01-1
2717,chlormezanone,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Postive,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,2,2,-1,-1,-1,1,WEQAYVWKMWHEJO-UHFFFAOYSA-N,25938-H01-2
2717,chlormezanone,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Postive,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,2,2,-1,-1,-1,1,WEQAYVWKMWHEJO-UHFFFAOYSA-N,25938-H01-3
2717,chlormezanone,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Postive,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,2,2,-1,-1,-1,1,WEQAYVWKMWHEJO-UHFFFAOYSA-N,25938-H01-4
2717,chlormezanone,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Postive,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,2,2,-1,-1,-1,1,WEQAYVWKMWHEJO-UHFFFAOYSA-N,25938-H01-5
2717,chlormezanone,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Postive,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,2,2,-1,-1,-1,1,WEQAYVWKMWHEJO-UHFFFAOYSA-N,25938-H01-6
