SAMPLE_KEY,Sakatis,Zhu,Xu,Greene,vNCTR,NCTR,Severity Class
24294-H01-1,-1,1,-1,-1,2,2,8
24294-H01-2,-1,1,-1,-1,2,2,8
24294-H01-3,-1,1,-1,-1,2,2,8
24294-H01-4,-1,1,-1,-1,2,2,8
24294-H01-5,-1,1,-1,-1,2,2,8
24294-H01-6,-1,1,-1,-1,2,2,8
24295-H01-1,-1,1,-1,-1,2,2,8
24295-H01-2,-1,1,-1,-1,2,2,8
24295-H01-3,-1,1,-1,-1,2,2,8
24295-H01-4,-1,1,-1,-1,2,2,8
24295-H01-5,-1,1,-1,-1,2,2,8
24295-H01-6,-1,1,-1,-1,2,2,8
24297-H01-1,-1,1,-1,-1,2,2,8
24297-H01-2,-1,1,-1,-1,2,2,8
24297-H01-3,-1,1,-1,-1,2,2,8
24297-H01-4,-1,1,-1,-1,2,2,8
24297-H01-5,-1,1,-1,-1,2,2,8
24297-H01-6,-1,1,-1,-1,2,2,8
24300-H01-1,-1,1,-1,-1,2,2,8
24300-H01-2,-1,1,-1,-1,2,2,8
24300-H01-3,-1,1,-1,-1,2,2,8
24300-H01-4,-1,1,-1,-1,2,2,8
24300-H01-5,-1,1,-1,-1,2,2,8
24300-H01-6,-1,1,-1,-1,2,2,8
25937-H01-1,-1,1,-1,-1,2,2,8
25937-H01-2,-1,1,-1,-1,2,2,8
25937-H01-3,-1,1,-1,-1,2,2,8
25937-H01-4,-1,1,-1,-1,2,2,8
25937-H01-5,-1,1,-1,-1,2,2,8
25937-H01-6,-1,1,-1,-1,2,2,8
25938-H01-1,-1,1,-1,-1,2,2,8
25938-H01-2,-1,1,-1,-1,2,2,8
25938-H01-3,-1,1,-1,-1,2,2,8
25938-H01-4,-1,1,-1,-1,2,2,8
25938-H01-5,-1,1,-1,-1,2,2,8
25938-H01-6,-1,1,-1,-1,2,2,8
25939-H01-1,-1,1,-1,-1,2,2,8
25939-H01-2,-1,1,-1,-1,2,2,8
25939-H01-3,-1,1,-1,-1,2,2,8
25939-H01-4,-1,1,-1,-1,2,2,8
25939-H01-5,-1,1,-1,-1,2,2,8
25939-H01-6,-1,1,-1,-1,2,2,8
25943-H01-1,-1,1,-1,-1,2,2,8
25943-H01-2,-1,1,-1,-1,2,2,8
25943-H01-3,-1,1,-1,-1,2,2,8
25943-H01-4,-1,1,-1,-1,2,2,8
25943-H01-5,-1,1,-1,-1,2,2,8
25943-H01-6,-1,1,-1,-1,2,2,8
24319-O16-1,1,1,1,2,2,2,8
24319-O16-2,1,1,1,2,2,2,8
24319-O16-3,1,1,1,2,2,2,8
24319-O16-4,1,1,1,2,2,2,8
24319-O16-5,1,1,1,2,2,2,8
24319-O16-6,1,1,1,2,2,2,8
24320-O16-1,1,1,1,2,2,2,8
24320-O16-2,1,1,1,2,2,2,8
24320-O16-3,1,1,1,2,2,2,8
24320-O16-4,1,1,1,2,2,2,8
24320-O16-5,1,1,1,2,2,2,8
24320-O16-6,1,1,1,2,2,2,8
24321-O16-1,1,1,1,2,2,2,8
24321-O16-2,1,1,1,2,2,2,8
24321-O16-3,1,1,1,2,2,2,8
24321-O16-4,1,1,1,2,2,2,8
24321-O16-5,1,1,1,2,2,2,8
24321-O16-6,1,1,1,2,2,2,8
24357-O16-1,1,1,1,2,2,2,8
24357-O16-2,1,1,1,2,2,2,8
24357-O16-3,1,1,1,2,2,2,8
24357-O16-4,1,1,1,2,2,2,8
24357-O16-5,1,1,1,2,2,2,8
24357-O16-6,1,1,1,2,2,2,8
25989-O16-1,1,1,1,2,2,2,8
25989-O16-2,1,1,1,2,2,2,8
25989-O16-3,1,1,1,2,2,2,8
25989-O16-4,1,1,1,2,2,2,8
25989-O16-5,1,1,1,2,2,2,8
25989-O16-6,1,1,1,2,2,2,8
25990-O16-1,1,1,1,2,2,2,8
25990-O16-2,1,1,1,2,2,2,8
25990-O16-3,1,1,1,2,2,2,8
25990-O16-4,1,1,1,2,2,2,8
25990-O16-5,1,1,1,2,2,2,8
